,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
8135,0.01358397,0.33168775,0.12174988,-0.6833125,0.45876595,-0.06834335,0.3910445,-0.2277378,0.1399804,2.5826,84.45486518
8136,0.01190781,0.43880575,0.10732708,-0.6633605,0.40658965,-0.06857565,0.4407865,-0.1540482,0.1300068,2.3618,126.1486486
8137,0.01201527,0.35985325,0.0882898,-0.5976465,0.41112105,-0.06087525,0.3585813,-0.1701982,0.1632708,0.6558,88.80829016
8138,0.01246131,0.42865825,0.11892652,-0.6296915,0.35801565,-0.06737735,0.3446751,-0.1779198,0.136402,3.885,142.0923521
8139,0.01345059,0.33648925,0.11813092,-0.6813115,0.33146295,-0.05834065,0.4292057,-0.1631454,0.1544228,0.1806,80.5730659
8140,0.01342845,0.47635975,0.09224332,-0.6662605,0.46676925,-0.05299545,0.3987753,-0.1741578,0.1181404,2.7658,143.7453875
8141,0.01420929,0.44859025,0.08850604,-0.7285235,0.42080325,-0.06818235,0.3551933,-0.2221594,0.1669052,3.2494,140.9895833
8142,0.01422441,0.42260275,0.10315732,-0.7311045,0.39985775,-0.06071425,0.3851001,-0.1857706,0.1422204,2.7438,137.4831081
8143,0.01484541,0.35919325,0.11326348,-0.8567035,0.40510635,-0.04693035,0.4237695,-0.1724022,0.1462356,2.9334,135.6651719
8144,0.01088505,0.42072175,0.12314524,-0.6913165,0.47782065,-0.06538785,0.3922919,-0.167371,0.162554,3.0602,127.2263868
8145,0.01302831,0.49203475,0.10529932,-0.8281965,0.46421015,-0.06677245,0.3376065,-0.2105846,0.138754,0.7158,102.2244094
8146,0.01082619,0.33916225,0.10751884,-0.8605605,0.41227835,-0.05879835,0.3781855,-0.1813246,0.1663732,3.8494,134.6619718
8147,0.01230633,0.40894075,0.12004036,-0.6092755,0.48156965,-0.06272675,0.4502729,-0.1578938,0.1374268,0.2302,84.8776509
8148,0.01349487,0.36444025,0.11785756,-0.7913375,0.38645915,-0.06406765,0.4286513,-0.1538202,0.1206716,0.5966,93.05246423
8149,0.01254663,0.35221375,0.1057114,-0.7192725,0.46068935,-0.05655125,0.4427577,-0.1811878,0.1212708,1.4562,105.4375
8150,0.01093095,0.43473025,0.09253708,-0.7877415,0.39237605,-0.06009325,0.4242623,-0.2220606,0.1485148,1.3594,117.3605948
8151,0.01389933,0.37339975,0.11185588,-0.6383045,0.46810585,-0.05021245,0.3869943,-0.184471,0.11977,3.0606,129.0057637
8152,0.01220589,0.42671125,0.08442196,-0.7843775,0.34552985,-0.06107535,0.3744279,-0.1683286,0.1138844,1.1894,107.4031008
