,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
147,0.01507923,0.42157975,0.0967762,-0.7710085,0.41718465,-0.04641055,0.3962959,-0.1727746,0.1366988,2.1774,133.6738351
148,0.01247319,0.41377525,0.10558084,-0.7246375,0.42002085,-0.05960565,0.4532605,-0.2096194,0.1456868,3.2702,143.4597156
149,0.01217619,0.37785475,0.08917108,-0.8508165,0.38420975,-0.05824635,0.3672053,-0.2231854,0.1339492,3.217,143.0820771
150,0.01529145,0.37702975,0.10817572,-0.8689995,0.40499225,-0.05014575,0.4330095,-0.187473,0.1367324,0.0486,75.70596798
151,0.01513107,0.34204975,0.12166828,-0.8540645,0.48013525,-0.06294295,0.3283357,-0.165015,0.1521884,1.8202,102.1396731
152,0.01502901,0.45705475,0.0863314,-0.7808975,0.45576675,-0.06616295,0.3471699,-0.1930894,0.1216908,0.2506,81.01832994
153,0.01418175,0.48477475,0.10081948,-0.7556675,0.32766505,-0.05402125,0.3563175,-0.2186862,0.1252636,3.6186,161.5041322
154,0.01588977,0.40598725,0.1096894,-0.6958695,0.36856175,-0.05572095,0.4070297,-0.1867282,0.1303204,1.2942,115.9333333
155,0.01081269,0.40321525,0.11076244,-0.6392325,0.34685015,-0.05487455,0.3233769,-0.1728886,0.144494,3.1654,135.9347181
156,0.01527147,0.41149825,0.1045078,-0.7882635,0.42618225,-0.05327375,0.3934161,-0.226271,0.1336468,1.6802,125.5226481
157,0.01089855,0.48729925,0.10274116,-0.8599805,0.35110445,-0.06653325,0.4197501,-0.2054546,0.1496964,0.681,106.744186
158,0.01430973,0.34424425,0.1157278,-0.6082315,0.35891215,-0.06253585,0.4271113,-0.1993442,0.1487164,3.161,110.3144654
159,0.01367955,0.41270275,0.1072618,-0.7865235,0.35327235,-0.06034625,0.3944787,-0.2278746,0.1122268,3.7262,153.6111111
160,0.01149525,0.34924375,0.09515236,-0.8226575,0.43470715,-0.04762955,0.3925229,-0.1561762,0.1460172,2.7998,129.8715891
161,0.01455273,0.40813225,0.0852706,-0.7256525,0.45112125,-0.04856105,0.4156537,-0.1961978,0.1380932,1.553,117.9664179
162,0.01514727,0.36605725,0.0985714,-0.5813195,0.32759985,-0.05525405,0.4597439,-0.2198262,0.1304716,0.9542,109.7933227
163,0.01544103,0.48365275,0.08857948,-0.8690575,0.40189525,-0.06057855,0.4087853,-0.1537138,0.1659756,0.9834,103.2653061
164,0.01282203,0.37278925,0.09356932,-0.6861545,0.37783645,-0.05707795,0.3237927,-0.169613,0.131782,0.9002,99.44055944
165,0.01201797,0.34084525,0.1014274,-0.7560445,0.39852115,-0.05486995,0.4270959,-0.1940774,0.124278,3.9202,139.5804196
166,0.01609119,0.36800425,0.09611932,-0.7134435,0.35257145,-0.05261135,0.3960033,-0.1537822,0.1564948,2.199,125.1565074
167,0.01308717,0.36371425,0.11438548,-0.6743515,0.45006175,-0.06302575,0.3903207,-0.1569742,0.1327676,0.727,89.52904239
168,0.01168641,0.48949375,0.09087244,-0.8154655,0.37680955,-0.04805735,0.4238003,-0.2241506,0.167734,3.0274,156.7863555
169,0.01549017,0.38721025,0.09976276,-0.8028505,0.44896965,-0.06640905,0.4172091,-0.1530754,0.1419796,0.4958,85.23897059
170,0.01106163,0.45652675,0.11671924,-0.6316345,0.32908315,-0.05943775,0.4071683,-0.2168774,0.1155812,0.7714,113.891709
171,0.01409157,0.41823025,0.11912236,-0.5804785,0.43552215,-0.04624955,0.3246705,-0.2125682,0.11739,3.2118,139.3939394
172,0.01189809,0.35769175,0.12143164,-0.8444945,0.44300385,-0.06135595,0.3857931,-0.226917,0.14091,0.0318,83.75975039
173,0.01435509,0.36049675,0.09503812,-0.6056795,0.47842375,-0.05275165,0.4536455,-0.2179338,0.1442812,2.4738,123.5758514
174,0.01585467,0.42864175,0.10392436,-0.7519555,0.47046935,-0.06307865,0.4489793,-0.2111014,0.1668268,0.3326,91.30275229
